armed,age,gender,race,state,mentalillness
gun,34,M,H,CA,0
gun,48,M,B,GA,0
unarmed,,M,B,LA,1
gun,21,M,W,PA,1
gun,39,M,W,FL,0
gun,25,M,B,CO,0
gun,30,M,W,CA,0
gun,61,M,,KY,0
gun,56,M,W,VT,0
undetermined,29,M,W,FL,0
gun,19,M,H,NM,0
unarmed,35,M,B,MI,1
,36,M,W,LA,0
gun,54,M,,LA,1
gun,24,M,B,MI,0
knife,23,M,H,CA,0
knife,31,M,W,CA,1
brick,41,M,W,AZ,1
unarmed,55,F,B,IL,0
baseball bat,19,M,B,IL,1
gun,38,M,H,ID,0
undetermined,36,M,W,MS,0
knife,34,M,W,AZ,1
undetermined,52,M,W,LA,0
toy weapon,28,M,W,VA,0
knife,50,F,O,CA,1
unknown weapon,,M,A,CA,0
knife,55,M,H,CA,0
undetermined,39,M,,WY,0
unarmed,23,M,B,NV,0
knife,30,M,W,CA,0
gun,54,M,W,TX,0
gun,37,M,W,SD,0
knife,37,M,W,MT,0
gun,30,M,B,NC,0
undetermined,27,M,B,LA,0
gun,22,M,B,OK,0
,29,M,W,WA,0
knife,39,M,W,TN,0
gun,33,M,B,NC,0
gun,52,M,W,CA,1
hand torch,28,M,H,CA,0
knife,54,M,W,PA,1
toy weapon,38,M,W,IL,1
gun,32,M,H,NM,1
gun,34,M,W,KY,0
knife,26,M,W,WI,0
gun,50,M,W,GA,1
chain saw,37,M,W,WA,1
toy weapon,45,F,W,MD,1
,56,M,W,CA,0
toy weapon,45,M,W,OH,1
gun,32,M,W,CO,0
unarmed,12,F,W,PA,0
knife,49,M,N,AK,1
gun,58,M,W,VA,1
gun,29,M,W,TN,0
gun,60,M,W,WA,1
gun,40,M,W,IL,1
knife,39,M,H,CA,0
gun,26,M,W,WV,0
gun,24,M,B,MI,0
toy weapon,34,M,H,CA,0
gun,27,M,W,TX,0
toy weapon,44,M,W,OR,0
unarmed,25,F,W,CA,0
,55,M,W,WV,0
gun,19,M,B,FL,0
gun,52,M,B,MO,0
gun,31,M,W,UT,0
unarmed,26,M,W,AZ,0
knife,24,M,H,CA,0
gun,38,M,W,AL,0
gun,33,M,W,AZ,1
toy weapon,28,M,W,FL,0
knife,27,M,W,OR,0
gun,39,M,W,AZ,1
garden tool,29,M,W,CA,1
gun,36,M,W,TX,0
knife,55,M,W,NC,1
gun,28,M,W,GA,0
gun,40,M,B,LA,0
gun,33,M,W,AL,0
knife,37,M,W,TX,0
gun,39,M,B,OK,1
toy weapon,43,M,W,AL,0
knife,38,M,H,NV,1
gun,55,M,W,OR,0
gun,52,M,W,AR,0
gun,32,M,B,TN,0
gun,31,M,H,NM,0
knife,27,M,W,SC,0
toy weapon,40,M,A,TN,1
,31,F,B,MI,1
gun,30,M,W,TX,0
gun,26,M,H,GA,0
,32,F,N,WA,0
gun,33,M,W,NE,1
gun,19,M,B,OR,1
gun,33,M,B,MA,0
gun,29,M,B,TX,0
,41,F,W,AL,0
gun,29,M,B,IL,0
scissors,38,M,H,CO,0
gun,64,M,H,GA,1
gun,42,M,W,MO,0
knife,46,M,H,FL,0
gun,62,M,,CA,1
gun,42,M,W,CA,0
knife,37,M,B,PA,1
unarmed,25,M,W,TX,0
toy weapon,36,M,B,DC,0
gun,21,M,H,NM,1
knife,30,M,W,CA,1
gun,53,M,W,OK,0
gun,31,M,H,FL,1
gun,22,M,N,SD,0
knife,24,M,W,AZ,1
unarmed,36,M,B,TX,0
gun,47,M,W,MO,0
toy weapon,54,M,W,OH,0
gun,43,M,H,TX,0
,38,M,O,HI,0
gun,30,M,W,FL,0
gun,51,M,W,NC,0
gun,55,M,W,OR,0
gun,16,M,H,CA,0
gun,23,M,B,OH,0
gun,36,M,W,AR,0
knife,27,M,,NJ,0
gun,33,M,B,PA,0
unarmed,17,M,B,TX,0
,22,M,B,LA,0
unarmed,22,M,H,CA,0
gun,29,M,O,HI,0
gun,41,M,W,KY,0
gun,67,M,W,MD,0
gun,36,M,N,AK,0
knife,52,M,W,MN,1
gun,56,M,O,TX,1
knife,35,M,W,NC,1
ax,45,M,W,CA,0
machete,30,M,B,OH,0
gun,29,M,B,MA,1
gun,53,M,W,TX,0
gun,32,F,B,NY,1
gun,22,M,B,LA,1
unarmed,24,M,B,TX,0
unarmed,19,M,B,VA,0
gun,29,M,B,IA,0
knife,50,M,W,FL,1
gun,29,M,H,CA,0
knife,26,M,W,CA,0
undetermined,39,M,W,CA,0
gun,52,M,H,NM,0
knife,51,M,W,CT,1
,48,M,W,MO,0
gun,30,M,W,AR,0
toy weapon,37,M,B,OH,0
undetermined,30,M,H,CA,0
undetermined,35,M,H,CA,0
gun,32,M,H,TX,0
undetermined,25,M,W,GA,0
knife,35,M,W,UT,1
gun,31,M,W,TN,0
gun,30,M,H,CA,0
gun,23,M,H,NM,0
gun,41,M,B,WA,0
gun,45,M,W,MS,1
undetermined,46,M,B,WA,0
gun,36,F,N,AZ,1
gun,31,F,B,CA,0
undetermined,32,M,B,CA,0
gun,38,F,N,AK,0
gun,33,M,H,CO,0
knife,45,M,W,CA,0
,38,M,W,TX,1
toy weapon,22,M,W,OH,0
,48,M,B,LA,1
gun,36,M,H,CA,0
gun,26,M,W,AZ,1
machete,39,M,H,TX,1
knife,16,M,W,MO,1
gun,58,M,W,CO,1
,27,M,H,AZ,0
,26,M,H,CA,0
unarmed,21,M,B,WI,0
gun,37,M,W,CO,0
pole,56,M,B,AL,0
gun,19,M,W,NV,0
gun,38,M,B,KS,1
toy weapon,18,M,B,VA,1
unarmed,35,M,W,SD,0
gun,23,M,H,TX,0
gun,41,M,W,AL,0
gun,44,M,W,SD,1
gun,24,M,B,NC,0
gun,39,M,H,FL,1
gun,22,M,H,TX,1
gun,37,M,W,MS,0
unarmed,36,M,W,MD,1
knife,41,M,W,PA,0
knife,27,M,H,AZ,0
undetermined,66,M,,AR,0
unarmed,30,M,W,KY,0
gun,34,M,W,NY,1
gun,22,M,W,TX,1
gun,51,M,W,TX,1
unarmed,42,M,W,ND,0
gun,41,M,H,CA,0
gun,49,M,W,NY,1
knife,45,M,W,CA,0
undetermined,45,M,W,KS,0
gun,42,M,W,MT,0
,41,M,H,NM,0
toy weapon,27,M,W,FL,1
toy weapon,37,M,W,MS,0
toy weapon,22,M,B,NV,1
gun,21,M,H,CA,0
gun,50,M,W,TX,1
,23,M,H,CO,0
gun,25,M,B,VA,0
gun,51,M,W,KS,1
knife,46,M,W,IL,1
gun,23,M,H,CA,0
gun,43,M,W,NC,1
unarmed,37,M,B,TX,0
Taser,20,M,B,TX,0
,45,M,W,CA,1
unarmed,16,M,H,TX,0
unarmed,30,M,W,TN,0
gun,26,M,W,AL,0
gun,24,M,B,PA,0
hammer,38,F,W,WA,1
gun,28,M,B,MD,0
gun,29,M,B,IL,0
gun,34,M,W,KY,0
knife,38,M,W,IN,0
gun,43,M,W,TX,0
unarmed,23,M,H,CA,1
gun,33,M,H,TX,1
gun,40,M,W,NC,1
gun,38,M,A,MN,1
gun,53,M,A,FL,0
gun,29,M,B,TX,0
gun,30,M,B,TX,0
gun,49,M,,CA,1
gun,60,M,W,ID,0
toy weapon,25,F,B,VA,0
undetermined,24,M,W,LA,0
gun,21,M,B,IL,0
gun,23,M,W,KY,0
knife,61,M,W,VA,1
gun,54,M,W,PA,0
gun,62,M,H,IN,0
toy weapon,16,M,B,FL,1
toy weapon,25,M,W,CT,1
gun,28,M,W,PA,1
knife,76,M,W,VT,1
pickaxe,25,M,H,FL,1
,33,M,W,VA,0
gun,51,M,W,CO,0
gun,34,M,H,CA,0
gun,30,M,B,TN,1
knife,44,M,W,MA,0
toy weapon,24,M,B,RI,0
gun,29,M,W,CA,0
gun and knife,48,M,H,CO,0
gun,19,M,H,NM,0
gun,22,M,B,MO,0
meat cleaver,39,M,H,MA,1
gun,36,M,W,VA,1
gun,55,M,W,SC,0
gun,46,M,W,FL,1
knife,34,M,W,MO,1
scissors,27,F,N,AZ,0
gun,33,M,W,NM,1
gun,18,M,B,NC,0
gun,33,M,W,TX,1
gun,51,M,W,SC,1
gun,50,F,W,MN,1
flashlight,46,M,W,CA,0
gun,33,M,W,CA,0
gun,25,M,H,AZ,0
gun,52,M,W,GA,0
gun,18,M,B,MD,0
gun,43,M,B,MD,0
gun,34,M,B,VA,0
gun,31,M,B,NV,0
shovel,65,M,H,TX,1
gun,37,M,H,TX,0
gun,30,M,B,IN,0
unknown weapon,36,F,W,AL,1
gun,25,M,W,TX,0
Taser,69,M,W,WI,0
undetermined,48,M,W,LA,0
knife,50,M,H,MN,1
knife,52,M,W,MA,1
unarmed,44,M,B,IN,0
ax,60,M,W,OH,0
ax,40,F,B,TN,0
knife,20,M,H,CA,1
knife,45,M,H,CA,0
,44,M,W,NE,0
knife,40,M,B,CA,1
hatchet,25,F,W,WI,1
knife,43,M,B,MI,0
gun,27,M,B,NJ,0
gun,19,M,B,PA,0
gun,39,M,W,CA,0
knife,30,M,W,NY,1
knife,28,M,H,CA,0
gun,22,M,H,NV,0
gun,16,M,B,IL,0
unarmed,40,M,W,CO,0
gun,38,M,H,IL,0
,20,M,W,FL,0
undetermined,35,M,B,CA,0
gun,52,M,W,TX,0
gun,26,M,W,TN,0
unarmed,54,M,W,KS,1
baseball bat,38,M,H,CA,0
gun,52,M,W,OK,1
undetermined,26,M,W,IN,0
gun,53,M,W,IL,0
gun,35,F,B,OH,0
unarmed,22,M,W,TX,1
gun,31,M,B,NJ,0
gun,32,M,B,NY,0
,37,M,B,NY,0
gun,28,M,B,MD,0
gun,18,M,B,GA,0
gun,41,M,A,NC,1
gun,15,M,B,MO,0
gun,38,M,W,AL,0
gun,41,M,W,FL,0
unknown weapon,52,M,W,AR,0
knife,48,M,H,MA,0
knife,29,M,W,TX,1
knife,51,M,W,NY,1
,21,M,B,FL,0
gun,24,M,W,AZ,1
gun,18,M,W,WI,0
gun,30,M,W,VA,1
,33,M,B,AR,0
gun,60,F,W,NC,1
gun,28,M,W,CO,0
gun,26,M,B,VA,1
gun,24,F,W,NM,1
gun,44,M,W,TX,0
machete,34,M,A,GA,0
gun,21,M,W,CO,0
gun,36,M,W,UT,0
knife,37,M,B,FL,0
gun,53,M,W,ID,1
,24,M,B,TX,0
knife,45,M,W,WA,1
,48,M,W,MO,0
knife,42,M,W,WI,0
knife,33,M,W,UT,0
,55,M,W,AZ,0
knife,28,M,A,CA,0
toy weapon,25,M,B,FL,0
gun,28,M,W,TN,1
gun,52,M,B,SC,0
knife,59,M,W,CA,0
,52,M,W,PA,0
gun,39,M,W,WA,0
knife,18,M,,CA,0
undetermined,40,M,W,MO,0
,36,M,W,LA,0
gun,38,M,B,WI,0
gun,26,F,B,FL,0
gun,,M,B,WV,1
gun,29,M,W,WA,1
gun,37,M,B,FL,0
knife,29,M,O,ME,0
toy weapon,21,M,B,CA,0
gun,33,M,B,MN,0
unarmed,23,M,W,MS,0
gun,26,M,W,IL,0
gun,59,M,,FL,0
gun,29,M,W,TX,1
toy weapon,33,M,B,TX,0
knife,28,M,B,MA,1
gun,35,M,W,CO,0
,33,M,A,CA,0
gun,24,M,B,CO,0
gun,,M,W,OK,1
gun,28,M,H,CA,0
knife,19,M,W,FL,1
gun,43,M,N,AZ,0
gun,59,M,W,FL,0
gun,34,M,W,GA,1
gun,35,M,W,IL,0
gun,23,M,B,GA,0
ax,36,M,W,CA,1
knife,46,M,W,NY,1
gun,44,M,W,MO,0
gun,20,M,H,AZ,0
unarmed,30,M,H,NV,0
unarmed,29,F,B,CA,0
knife,35,M,H,CA,0
gun,36,M,W,KY,0
gun,22,M,B,FL,0
knife,31,M,B,NE,0
gun,63,M,W,SC,0
unarmed,38,M,W,OR,1
gun,31,M,N,AZ,1
unarmed,27,M,B,FL,0
gun,35,M,H,MA,0
unarmed,22,M,B,FL,0
gun,28,M,W,CO,1
gun,26,M,N,AZ,0
knife,22,M,W,OR,0
Taser,57,M,,MO,0
gun,31,M,H,NM,0
knife,43,M,W,OK,1
,24,M,B,FL,0
gun,29,M,W,MN,0
gun,43,M,W,IL,0
gun,,M,,TX,0
undetermined,21,M,B,IL,0
gun,19,M,H,CA,0
knife,,F,,FL,0
gun,25,M,H,NM,0
gun,59,M,W,IN,0
gun,50,M,B,AL,0
gun,58,M,W,NM,0
gun,25,M,H,TX,1
knife,32,M,W,FL,0
gun,53,M,W,NC,0
unarmed,38,M,W,NC,0
gun,70,M,W,OR,0
gun,33,M,B,AZ,0
knife,36,M,W,OR,0
gun,,M,,AZ,0
gun,21,M,B,GA,0
gun,51,M,W,KY,0
knife,43,M,B,VA,1
gun,18,M,B,NC,0
knife,33,M,W,AK,0
knife,34,M,N,AZ,0
undetermined,31,M,W,CA,0
gun,35,M,B,AL,0
knife,31,M,W,IN,1
gun,31,M,W,FL,0
gun,23,M,B,OH,0
knife,25,M,O,HI,0
unarmed,25,M,W,OK,0
vehicle,21,M,H,CA,0
gun,49,M,B,VA,0
gun,63,M,W,GA,0
gun,43,M,H,MO,0
gun,34,M,W,AL,0
gun,38,M,W,PA,0
gun,52,M,B,TX,0
gun,68,M,W,MI,1
baton,,M,,AZ,0
baseball bat,29,M,W,NC,0
gun,32,M,H,CO,0
gun,50,M,H,WA,0
gun,31,M,B,CA,0
gun,27,M,B,MS,0
spear,31,M,H,CA,0
gun,29,M,O,FL,1
knife,23,M,W,UT,1
gun,61,M,B,KY,0
gun,33,M,W,NY,0
gun,18,M,B,AL,0
gun,80,M,H,RI,0
undetermined,43,M,W,WA,0
,50,M,H,ID,0
gun,47,M,W,MO,0
gun,54,M,O,TX,0
undetermined,22,M,H,CA,0
,43,M,W,OK,0
gun,38,M,W,WI,1
gun,36,M,W,MT,0
,30,M,H,CO,0
gun,59,M,W,OH,1
gun,21,M,H,NM,0
toy weapon,34,M,W,AL,0
,17,M,W,CA,0
unarmed,37,M,B,MS,0
gun,25,M,B,NY,0
gun,30,M,,FL,0
gun,23,M,B,SC,0
knife,20,M,W,AZ,0
toy weapon,19,M,W,NH,1
gun,50,M,W,WY,1
chair,24,M,H,NC,1
gun,25,M,W,CO,0
,20,M,B,AL,0
knife,37,M,W,FL,0
gun,44,M,B,MS,0
unarmed,22,M,B,GA,0
gun,31,M,W,TX,0
gun,25,M,B,WI,0
gun,,M,B,IL,0
gun,29,M,,NM,0
gun,36,M,B,NJ,0
gun,50,M,W,AR,0
gun,42,F,W,TX,1
gun,42,M,H,OK,1
gun,26,M,H,FL,0
unarmed,19,M,W,CA,1
gun,59,M,W,FL,0
gun,,M,,AZ,0
unarmed,36,M,H,GA,0
baseball bat,51,M,W,MI,1
knife,27,M,H,CT,0
gun,22,M,B,NE,0
gun,30,M,B,IL,0
toy weapon,28,M,W,IA,1
toy weapon,63,M,B,DC,1
gun,32,M,W,GA,0
gun,26,M,W,NM,0
toy weapon,25,M,W,DE,0
knife,27,M,A,CA,0
knife,61,M,A,HI,0
undetermined,30,M,W,KY,0
gun,,M,B,LA,0
gun,37,M,B,IA,0
pitchfork,41,M,W,WI,1
gun,25,M,B,OH,0
gun,24,M,W,CO,0
undetermined,44,M,H,WY,0
gun,63,M,W,SC,0
knife,58,M,W,WI,0
gun,30,M,W,GA,0
gun,35,M,B,NC,0
gun,50,M,W,TN,0
knife,40,M,W,LA,1
,,M,H,NV,0
,19,M,H,CA,0
gun,34,M,W,SC,0
gun,18,M,H,CA,1
gun,21,M,B,DC,0
knife,,M,,TX,0
undetermined,29,M,W,OR,0
undetermined,49,M,W,CA,0
knife,24,F,H,AZ,0
undetermined,37,M,B,LA,0
gun,32,M,B,MN,0
gun,65,M,W,OK,0
knife,37,M,H,CA,0
,33,M,W,CA,0
gun,63,M,B,AL,0
knife,30,M,W,AZ,1
gun,40,M,B,OK,0
gun,38,M,B,TX,0
knife,50,M,B,CA,1
gun,41,M,B,IL,0
gun,41,M,H,MI,0
gun,39,M,B,NY,0
gun,44,M,W,MI,0
hatchet,23,M,W,AK,1
gun,32,M,W,AZ,0
toy weapon,56,M,W,NY,1
gun,33,M,B,MD,0
gun,63,M,W,NC,1
gun,31,M,W,FL,1
gun,57,M,W,NJ,0
gun,26,M,W,CA,0
gun,39,M,W,WI,0
gun,42,M,B,NY,0
gun,29,M,B,LA,1
screwdriver,43,M,W,OK,0
ax,56,M,W,OK,1
knife,31,M,H,CA,1
gun,50,M,B,IL,0
gun,36,M,O,HI,1
gun,50,M,W,WV,0
knife,49,M,B,WI,0
gun,31,M,B,CA,0
gun,34,M,H,TX,0
hatchet and gun,36,M,W,CA,1
knife,29,M,N,NM,1
gun,32,M,B,IN,0
gun,18,M,B,CA,0
gun,50,M,W,WI,0
gun,36,M,H,NM,0
gun,17,M,B,LA,0
unarmed,19,M,B,AZ,1
knife,24,M,W,AZ,0
knife,24,M,H,CA,1
knife,20,M,W,MT,0
knife,33,M,W,TN,0
undetermined,41,M,H,NV,0
undetermined,47,M,B,CA,0
,18,M,B,IL,0
gun,31,M,H,AZ,0
unarmed,27,M,B,CA,0
undetermined,36,M,H,CA,0
gun,40,F,W,AL,0
gun,59,M,W,NC,0
rock,32,M,W,KY,0
undetermined,38,M,H,WA,0
knife,18,M,A,NJ,1
gun,23,F,B,MD,0
,43,M,W,SC,0
gun,67,M,W,VA,0
undetermined,32,M,W,CA,1
gun,22,M,W,SC,0
knife,31,M,W,MN,0
gun,43,M,B,FL,1
gun,34,M,W,ID,1
undetermined,51,M,W,CA,0
gun,31,M,W,UT,0
knife,54,M,W,MI,0
gun,69,M,W,VA,0
knife,58,M,W,VA,1
gun,26,M,B,GA,1
crossbow,31,M,,CA,1
gun,59,M,W,WI,1
knife,25,M,B,OH,1
knife,20,M,B,PA,1
knife,57,M,B,KY,0
gun,56,M,W,CA,0
gun,64,M,W,NC,0
gun,34,M,H,KY,0
gun,69,M,W,SC,1
gun,45,M,W,OH,1
gun,14,M,H,CA,0
undetermined,44,M,W,SC,0
gun,59,M,W,WA,1
knife,33,M,H,CA,0
gun,54,M,W,LA,0
undetermined,22,M,H,AZ,0
hammer,49,M,W,OK,1
gun,23,M,B,WI,0
knife,38,M,H,AZ,1
gun,53,M,W,CO,0
,36,M,H,CA,0
metal pole,29,M,H,VA,1
gun,42,M,W,TN,0
gun,36,M,W,OH,0
gun,32,M,W,NC,0
toy weapon,53,M,W,AZ,0
gun,30,M,B,CA,0
unarmed,25,M,H,AZ,0
gun,18,M,B,CA,0
gun,55,M,W,WV,0
piece of wood,27,M,B,WA,0
gun,37,M,H,CA,0
unarmed,29,M,W,NC,0
knife,40,M,W,CA,0
undetermined,36,M,W,KS,0
gun,38,M,W,CA,0
gun,29,M,W,NM,0
gun,59,M,W,CA,1
bayonet,47,M,H,CA,1
gun,22,M,H,AZ,0
toy weapon,31,M,W,WI,1
undetermined,29,M,W,NV,0
knife,54,M,W,TN,0
knife,71,M,H,CA,0
knife,36,M,H,NM,0
knife,34,M,B,OH,0
gun,49,M,W,TX,0
gun,36,M,H,TX,0
gun,43,M,W,FL,1
gun,53,M,W,TN,0
gun,31,M,B,CA,0
undetermined,32,M,H,CA,0
knife,63,M,,CO,0
gun,41,M,W,NV,0
toy weapon,26,M,H,AZ,0
gun,82,M,W,WV,0
knife,49,M,,CO,0
gun,37,M,W,MN,1
gun,24,M,B,NC,0
gun,35,F,W,AZ,0
knife,56,M,W,CA,0
gun,28,M,,AK,0
unarmed,22,M,B,FL,0
gun,59,M,W,TX,0
chain saw,36,M,,WA,1
knife,36,M,W,TX,0
gun,21,M,W,CO,0
,38,M,W,MO,0
,60,M,W,OH,1
gun,18,M,W,KS,0
gun,23,M,H,CA,0
pipe,,M,H,CA,0
gun,38,M,H,NM,0
gun,40,M,,CO,1
glass shard,22,M,W,IL,0
gun,38,M,B,MO,0
undetermined,25,M,B,NJ,0
undetermined,25,M,W,WA,0
gun,36,M,W,IL,0
gun,,M,,TX,0
knife,,M,H,CA,1
knife,44,M,H,CO,1
gun,36,M,B,TX,0
gun,35,M,H,TX,0
vehicle,25,M,W,NE,0
gun,65,M,,WV,1
gun,31,M,H,AZ,0
gun,70,M,W,TN,0
sword,25,M,W,AZ,1
knife,55,M,B,GA,0
undetermined,35,M,W,FL,0
gun,25,M,B,MI,0
gun,32,M,W,FL,0
toy weapon,38,M,H,CA,0
gun,32,M,H,TN,0
unknown weapon,64,M,W,WA,1
knife,55,M,B,FL,0
toy weapon,69,M,W,WV,1
gun,37,M,W,CO,0
motorcycle,31,M,B,DC,0
gun,86,M,,CA,0
knife,25,M,B,IA,0
unarmed,25,M,H,CA,0
toy weapon,13,M,B,OH,0
gun,32,M,H,AZ,0
gun,69,M,W,FL,1
gun,34,M,W,TX,0
gun,46,M,,MO,0
unarmed,29,M,N,VT,0
knife,29,M,W,KY,0
unarmed,40,M,B,OK,0
hatchet,42,M,W,CA,0
gun,25,M,B,PA,0
toy weapon,45,M,W,AL,0
gun,55,M,W,NC,1
knife,22,M,O,MN,0
gun,61,M,B,OH,0
gun,46,F,W,TX,1
unknown weapon,30,M,W,UT,1
gun,56,M,W,TX,1
gun,35,M,W,TN,0
gun,22,M,W,FL,1
unknown weapon,23,M,W,CT,0
gun,43,M,B,NC,0
gun,43,M,W,TN,0
gun,49,M,W,CO,0
unarmed,23,M,W,NE,0
undetermined,41,M,W,CA,0
,33,M,B,MD,0
gun,30,M,H,TX,0
gun,25,M,W,NH,1
gun,52,M,W,ID,0
gun,32,M,W,AR,1
gun,46,M,W,TX,0
gun,48,M,W,MN,1
unarmed,38,M,B,CA,1
,26,M,W,AZ,0
unarmed,32,M,B,PA,0
knife,28,M,H,GA,0
gun,53,M,W,AZ,0
,38,M,W,TX,0
undetermined,18,M,B,NJ,0
gun,32,M,B,SC,0
gun,37,M,W,MI,0
undetermined,18,M,B,NJ,0
gun,20,M,B,OH,0
gun,28,M,W,WV,0
gun,18,M,B,CA,0
toy weapon,16,M,H,CA,1
unknown weapon,36,M,B,IL,0
gun,57,M,W,MA,0
gun,49,M,W,NJ,0
brick,31,M,H,FL,0
gun,26,M,W,AR,0
gun,51,M,W,MI,1
machete,28,M,W,CO,1
gun,35,M,W,SC,0
pepper spray,57,M,B,GA,0
knife,36,M,W,IN,0
gun,42,M,W,AL,0
gun,,M,B,LA,0
toy weapon,49,M,W,AR,0
knife,21,M,H,WA,1
,39,M,,OK,0
knife,53,F,W,CA,0
knife,62,M,W,IN,0
gun,41,M,B,NY,0
gun,40,M,W,AZ,1
gun,50,M,,NC,0
undetermined,27,M,H,CA,1
gun,19,M,N,TX,0
,26,M,W,OH,0
knife,44,M,A,WA,0
knife,30,M,W,CA,0
gun,31,M,W,LA,0
gun,33,M,B,MA,0
gun,22,M,W,KY,0
gun,50,M,,NV,0
gun,38,M,W,WA,0
knife,46,M,W,OR,1
baseball bat,23,M,W,TX,0
gun,24,M,H,TX,0
gun,26,M,W,CA,1
gun,38,M,,AL,0
toy weapon,26,F,W,TX,1
metal rake,32,M,W,CA,1
sword,50,M,H,FL,1
gun,17,M,W,AR,1
knife,39,M,W,FL,1
gun,28,M,B,MI,0
baseball bat,66,F,B,NY,1
gun,42,M,H,OK,0
gun,34,M,W,KY,0
,38,M,W,OH,0
gun,24,M,,TX,0
undetermined,28,M,H,NV,0
gun,29,M,W,FL,0
gun,23,F,N,WA,1
knife,58,M,W,OK,0
unknown weapon,21,M,W,AL,1
toy weapon,45,M,W,MN,0
gun,38,M,W,KY,0
gun,40,M,B,CO,0
gun,19,M,B,MO,0
toy weapon,46,M,B,AR,0
toy weapon,25,M,W,MD,1
toy weapon,25,F,W,MD,0
knife,37,M,W,CA,1
gun,25,M,B,TX,0
unarmed,36,M,W,OK,0
gun,32,M,W,MT,1
gun and knife,33,M,B,TX,0
undetermined,24,M,H,GA,0
gun,37,M,W,MN,0
gun,38,M,B,CA,1
knife,45,M,A,OH,1
knife,31,M,B,MA,1
,34,M,W,AZ,0
gun,23,M,H,TX,0
gun,38,M,,OK,0
vehicle,39,F,B,CA,1
knife,55,M,H,CA,0
gun,31,F,W,OH,0
gun,76,M,W,NV,0
gun,59,M,W,LA,1
undetermined,40,M,W,UT,0
gun,23,M,B,NC,0
knife,64,M,,PA,1
gun,56,F,,GA,0
undetermined,26,M,H,CA,0
gun,35,M,H,NY,1
knife,49,M,W,FL,1
,36,M,W,OK,0
gun,56,M,W,WV,0
gun,59,M,,WA,0
gun,34,M,W,TX,0
gun,43,M,W,SC,1
metal pipe,31,M,W,NJ,0
,17,M,W,AL,0
hammer,32,M,W,WV,1
undetermined,33,M,H,CA,0
,43,M,W,KY,0
gun,31,M,B,PA,0
gun,23,M,H,CO,0
,26,M,W,OH,0
gun,45,M,H,CA,0
unarmed,19,M,W,KS,0
gun,36,M,W,AZ,0
gun,41,M,H,TX,0
gun,53,M,W,FL,0
,24,M,W,CO,0
gun,,M,H,ID,0
gun,47,M,,CO,0
unarmed,,M,B,GA,0
gun,40,M,W,AK,0
gun,29,M,H,AZ,0
gun,22,M,H,CA,0
gun,21,M,H,OK,0
baseball bat,38,M,,PA,1
knife,48,M,,CA,0
,25,M,B,PA,0
gun,37,M,W,TX,0
machete,37,M,H,CA,0
gun,56,M,W,CA,0
gun,25,M,B,GA,0
gun,26,M,B,IL,0
gun,35,M,W,FL,1
machete,25,M,B,FL,1
machete,48,M,,AZ,1
,29,M,H,CA,0
gun,55,M,,OK,0
baton,21,M,B,NY,1
knife,15,M,A,CA,0
gun,24,M,H,TX,0
gun,18,M,W,MO,0
gun,19,M,B,MO,0
knife,27,M,W,CA,1
gun,45,M,H,CA,0
gun,36,M,B,TX,0
undetermined,34,M,B,NC,0
gun,23,M,B,NJ,0
knife,43,M,W,FL,0
undetermined,19,M,B,IL,0
knife,45,M,,TN,1
gun,37,M,B,IL,0
gun,23,M,B,MS,0
unarmed,26,M,H,AZ,0
,20,M,H,AZ,0
gun,59,M,W,ME,0
gun,33,M,B,IL,0
gun,48,M,B,LA,0
blunt object,50,M,W,KS,0
knife,18,M,O,OH,0
gun,23,M,H,CA,0
,41,M,B,NC,0
gun,41,M,W,MA,0
rock,55,M,W,TX,0
knife,29,M,W,IN,1
undetermined,31,M,W,SC,0
gun,25,M,B,MO,0
gun,38,M,B,WA,0
gun,,M,H,AZ,0
gun,83,M,W,AR,0
crowbar,22,M,W,KY,0
gun,33,M,W,AL,0
undetermined,36,M,W,NM,1
gun,38,M,,LA,0
undetermined,26,M,A,OH,0
gun,29,M,B,IN,0
gun,55,M,W,KS,0
gun,47,M,W,FL,0
gun,52,M,W,OR,0
oar,49,M,W,FL,0
undetermined,37,M,W,TX,0
gun,37,M,B,TX,0
undetermined,36,M,W,IA,0
knife,20,M,,PA,1
knife,31,M,B,NC,0
gun,,M,,TX,0
,30,M,O,HI,0
gun,,M,W,NC,0
machete and gun,35,M,W,PA,1
gun,35,M,B,SC,0
knife,36,M,W,IN,0
,39,M,W,WV,0
knife,30,M,H,TX,0
toy weapon,44,F,W,AZ,1
gun,24,M,W,KS,0
knife,53,M,W,NE,1
unarmed,73,M,H,CA,0
gun,31,M,W,GA,0
gun,28,M,B,PA,0
gun,18,M,B,MD,0
gun,32,M,B,GA,1
gun,60,M,W,CA,0
gun,36,M,,OR,0
knife,48,M,W,TN,0
gun,33,M,H,CA,0
gun,44,M,N,WA,0
undetermined,20,M,B,CA,0
gun,37,M,W,WA,0
gun,72,M,W,OK,1
undetermined,52,M,W,NC,0
gun,31,M,,CA,0
knife,46,M,H,TX,0
knife,,M,,CA,1
tire iron,31,M,,OK,0
gun,25,M,W,OK,0
,46,M,,IN,0
,38,M,H,NV,0
knife,25,M,,AR,1
knife,,M,,CA,0
gun,27,M,W,AL,0
gun,24,M,B,CA,0
gun,19,M,B,MD,0
crossbow,55,M,,FL,0
,,M,,CA,0
undetermined,31,M,W,OR,1
gun,18,M,B,NC,0
