armed,age,gender,race,state,mentalillness
gun,24,M,B,CA,0
gun,29,M,B,VA,1
gun,57,M,W,CA,1
gun,38,M,W,WI,0
undetermined,23,M,B,GA,0
gun,27,M,B,SC,0
gun,28,M,H,CA,0
gun,63,M,W,AZ,1
gun,53,F,W,KS,0
knife,35,M,H,CA,1
knife,26,F,B,CA,0
gun,42,M,W,WV,0
gun,41,M,B,MA,0
gun,56,M,W,CA,1
knife,39,M,B,FL,0
toy weapon,23,M,H,CA,0
gun,40,M,W,MA,0
gun,29,M,B,KY,0
,26,M,W,OH,0
gun,54,M,,NV,0
gun,49,M,W,OR,1
gun,36,M,W,FL,0
toy weapon,21,M,H,TX,0
,27,F,B,MD,0
gun,37,M,B,CA,0
knife,36,M,W,NJ,0
gun,32,M,B,IL,0
unarmed,44,M,B,OK,0
gun,27,M,W,LA,1
gun,63,M,W,IL,1
knife,38,M,W,VA,0
gun,17,M,B,IL,0
gun,31,M,B,CA,0
gun,34,M,W,NM,1
unarmed,50,M,B,SC,0
knife,51,M,W,AZ,1
gun,56,M,W,CA,0
gun,23,M,W,IN,1
gun,25,M,B,LA,0
gun,31,M,W,ID,0
gun,32,M,W,OK,0
gun,60,M,W,TX,0
,42,M,B,GA,0
gun,39,M,H,CA,0
knife,28,M,A,CA,1
sword,22,M,W,FL,0
gun,29,M,B,IN,0
gun,31,M,W,PA,1
gun,28,M,W,SC,0
,54,M,,OK,0
knife,21,M,H,CA,0
gun,38,M,W,KS,0
gun,66,M,W,OK,1
gun,36,M,B,IN,0
machete,83,M,W,OK,1
gun,32,M,W,NC,1
gun,27,M,H,IL,0
undetermined,26,M,B,TX,0
machete,31,M,W,AR,1
gun,22,M,B,FL,0
knife,41,M,B,SC,0
unarmed,41,M,B,TX,0
toy weapon,51,M,W,MO,0
gun,72,M,W,CO,1
toy weapon,52,M,H,CA,1
knife,47,M,H,CA,0
gun,18,M,B,IL,0
gun,29,M,H,CA,0
knife,23,M,B,MO,1
gun,43,M,H,AZ,1
gun,45,M,W,FL,0
gun,40,M,W,KY,1
knife,44,M,W,NE,0
gun,25,M,H,TX,0
unarmed,37,M,N,WA,1
knife,59,M,W,SC,1
knife,35,M,H,CA,1
,35,M,B,NJ,0
unarmed,18,M,B,VA,0
knife,51,M,H,AZ,0
gun,30,M,W,NY,1
gun,31,M,B,TX,0
gun,39,M,A,CO,0
gun,26,M,W,CA,1
gun,51,M,W,OK,0
unarmed,19,M,H,CA,0
,46,F,W,CA,0
gun,49,M,W,OR,0
gun,63,M,W,OK,0
gun,20,M,B,CO,0
machete,25,M,W,TX,1
unarmed,24,M,B,NY,1
knife,58,M,W,FL,1
unarmed,29,M,W,OK,0
gun,76,M,W,CA,0
gun,45,M,W,CA,0
hammer,20,M,B,MI,0
gun,58,M,W,OH,0
gun,21,M,B,LA,0
gun,27,M,W,IL,1
