teaching,international,research,citations,income,num_students,student_staff_ratio,international_students,total_score,Label
30.8,55.9,27.4,87.7,47.1,16841,43.2,0.08,49.1,0
33.5,15.9,33.3,76.8,26.3,23122,19,0.08,46.5,0
77.1,26.3,74.8,57.8,76.4,22809,5.6,0.07,66.8,1
48.1,55.8,64.3,88.1,89.1,30779,15.4,0.07,66.6,1
76.4,21.1,72,56.3,71.7,22809,5.6,0.07,64.8,1
78.9,18.4,77.7,46.3,67.1,22809,5.6,0.07,64.6,1
48,47.3,64.7,82.4,82.6,30779,15.4,0.07,64.1,1
69.5,27.5,69.5,58.2,78.7,22809,5.6,0.07,63.2,1
70.4,29,68.4,57,73.3,22809,5.6,0.07,62.8,1
63.5,53.3,46.7,74.4,48,6753,5.5,0.07,61.4,1
42.8,58.1,53.2,85.7,59.3,30779,15.4,0.07,60.4,1
53.1,20.9,36.1,95.6,48,7867,11.8,0.07,60.4,1
70.6,26.1,69.3,46.6,79,22809,5.6,0.07,59.9,0
23.9,38.1,27.8,48.9,32.3,19267,38.3,0.07,59.8,0
17.2,35,8.7,66.8,31.2,13435,37.4,0.07,59.8,0
27,36.3,25.2,48.2,36.3,120986,32.3,0.07,59.8,0
35.3,33.2,30.6,39.1,36,120986,32.3,0.07,59.8,0
32.3,37.5,28.1,50.7,34.2,120986,32.3,0.07,59.8,0
29.6,32.4,27.2,29.2,32.8,120986,32.3,0.07,59.8,0
38,34.7,37.3,61.5,32.6,120986,32.3,0.07,59.8,0
38.5,41.6,40.1,64.7,32,41226,31.8,0.07,59.8,0
19.5,42.1,15.2,64.5,40.4,18882,30.2,0.07,59.8,0
15.4,38.6,14.4,64.2,38.5,18882,30.2,0.07,59.8,0
19.2,41.4,13,58.5,37.7,18882,30.2,0.07,59.8,0
17.7,41.8,17.2,63.3,35.9,18882,30.2,0.07,59.8,0
15.8,37.1,14.1,59.3,34.3,18882,30.2,0.07,59.8,0
17.7,36.8,16.6,56.4,37.1,26937,29.1,0.07,59.8,0
18.6,30.4,18.7,18.4,48,19123,29,0.07,59.8,0
20.2,31.3,15,36.2,40.3,14780,26.9,0.07,59.8,0
25.7,32.8,18.1,49.4,32.7,32566,25.9,0.07,59.8,0
15.6,36.6,14.8,72.3,35.8,14076,25,0.07,59.8,0
35.4,36.7,33.9,48.1,38.4,11506,25,0.07,59.8,0
21.2,38.3,17.2,45.4,35.5,11506,25,0.07,59.8,0
24.5,36.2,19.7,45.7,34.7,11506,25,0.07,59.8,0
21.5,27.7,24.8,20.5,46.8,10625,24.1,0.07,59.8,0
14.6,21.1,13.7,34.4,33.9,20213,23.9,0.07,59.8,0
34.4,37.6,27.4,53.9,35.1,85532,22.9,0.07,59.8,0
31,43.1,23.2,64.5,34.9,85532,22.9,0.07,59.8,0
39.3,39.9,29.5,73,34.5,85532,22.9,0.07,59.8,0
30.7,40.7,18.6,64.2,33.5,85532,22.9,0.07,59.8,0
32.7,34.9,22,52.1,32.2,85532,22.9,0.07,59.8,0
29.9,26.7,17.3,28.8,60,25779,22.2,0.07,59.8,0
39.2,31.2,30,56.4,57,25779,22.2,0.07,59.8,0
50.8,28,46,44.6,50.6,25779,22.2,0.07,59.8,0
37,23.5,28.9,35.1,43.2,25779,22.2,0.07,59.8,0
27.5,25.6,22.7,33.1,33.7,21270,21.4,0.07,59.8,0
27.9,36.8,17.2,22,48,29512,20.9,0.07,59.8,0
19.2,24.8,15.7,36.1,30.2,16370,20.5,0.07,59.8,0
45.4,36.2,40.1,46.8,31.3,33119,19.9,0.07,59.8,0
39.7,35.3,28.9,46.6,31.1,33119,19.9,0.07,59.8,0
41.1,39.2,30.5,52.2,30.9,33119,19.9,0.07,59.8,0
39.6,35,28.9,46.1,30.7,33119,19.9,0.07,59.8,0
44.4,30.6,36.4,37.3,27.7,33119,19.9,0.07,59.8,0
23.6,38.3,13.1,76.1,36.6,25250,19.7,0.07,59.8,0
19.5,30.5,19.2,47.2,34.6,15035,18.8,0.07,59.8,0
29,39.6,28.2,49.6,57.1,24550,18.3,0.07,59.8,0
29.9,33.9,30.6,47.1,55.8,24550,18.3,0.07,59.8,0
28.4,35.2,26.5,46.1,55.6,24550,18.3,0.07,59.8,0
28.5,36,27.5,44.2,54.5,24550,18.3,0.07,59.8,0
28.8,31,24.5,33.5,34.3,24550,18.3,0.07,59.8,0
16.9,34.4,15,65.9,32.6,13908,18.1,0.07,59.8,0
19.4,32.6,16.4,65.2,32.6,13908,18.1,0.07,59.8,0
21.3,28.2,18.2,61.3,31.7,13908,18.1,0.07,59.8,0
17.6,18.6,14.5,52.8,29.9,13908,18.1,0.07,59.8,0
26.9,44.5,21.9,38.3,41.3,18867,17.9,0.07,59.8,0
18,48.3,10.9,28.3,38.3,18867,17.9,0.07,59.8,0
21.5,32,14.9,32.6,36.7,64931,17.5,0.07,59.8,0
21.7,38.5,20.4,72.1,35.9,54290,17.2,0.07,59.8,0
18.1,37.4,17.3,60.8,35.4,54290,17.2,0.07,59.8,0
17.7,37.3,13.2,57.7,34.2,54290,17.2,0.07,59.8,0
29.6,36.9,21.2,64.9,29.1,26622,17,0.07,59.8,0
24.5,37.3,18,54.9,28.8,26622,17,0.07,59.8,0
26.3,35.8,20.3,53.9,28.7,26622,17,0.07,59.8,0
27.2,34.9,19.7,53,28.2,26622,17,0.07,59.8,0
29.3,23.8,17.7,42.6,25.1,26622,17,0.07,59.8,0
17.1,45.5,16.3,30.1,29.7,25075,15.3,0.07,59.8,0
28.2,52.4,21.3,37,28,25075,15.3,0.07,59.8,0
38.2,36.7,26.8,18,97.8,46227,14.4,0.07,59.8,0
34.1,33.1,17.4,48.5,85.9,46227,14.4,0.07,59.8,0
31.3,21.7,12.9,25.3,66.7,46227,14.4,0.07,59.8,0
21.6,35.8,15.7,44.3,48,49292,14.1,0.07,59.8,0
20.8,41.6,13.6,70,28.5,49292,14.1,0.07,59.8,0
26.1,41.6,15.8,42.2,28.5,49292,14.1,0.07,59.8,0
18.7,42.8,14.3,71.1,28.3,49292,14.1,0.07,59.8,0
23.2,39.8,18.4,54,27.9,49292,14.1,0.07,59.8,0
20.3,32.9,12.7,34.3,43.8,33172,13.6,0.07,59.8,0
20.9,28.2,13.1,59,39.8,33172,13.6,0.07,59.8,0
21,26.1,12.1,59.4,39.3,33172,13.6,0.07,59.8,0
19.6,23.6,9.8,45.3,36.6,33172,13.6,0.07,59.8,0
21.4,72.2,21.1,32.3,93.9,40666,13.4,0.07,59.8,0
20,75.5,17.5,22.3,57.4,40666,13.4,0.07,59.8,0
21.2,50.3,25.7,52.7,31.3,16667,11.9,0.07,59.8,0
20.8,56.1,25,74.5,31.1,16667,11.9,0.07,59.8,0
19.8,50.1,29.6,53.1,30.5,16667,11.9,0.07,59.8,0
23.5,52.4,34.5,59.6,29.7,16667,11.9,0.07,59.8,0
20.8,52,29.2,59.4,26.3,16667,11.9,0.07,59.8,0
37.2,26,18.5,73.6,31.9,7867,11.8,0.07,59.8,0
36.8,26.5,19.9,78.7,30,7867,11.8,0.07,59.8,0
38.5,26.6,17.5,85,29.1,7867,11.8,0.07,59.8,0
27.9,24.5,12.4,7.7,57.9,2597,11.1,0.07,59.8,0
29.4,25.6,27.3,15.7,99.8,31658,10.8,0.07,59.8,0
29,21,12.5,21,97.2,31658,10.8,0.07,59.8,0
32,30.7,15.2,61,48,23065,10.7,0.07,59.8,0
35.3,28.2,15.7,59.9,48,23065,10.7,0.07,59.8,0
34.3,28.1,16.2,58.4,48,23065,10.7,0.07,59.8,0
34.7,24.6,16.4,55.2,48,23065,10.7,0.07,59.8,0
31.9,29.6,14.2,65.3,41.7,23065,10.7,0.07,59.8,0
26.1,38.2,25.5,57.4,52.5,3837,8.2,0.07,59.8,0
25.1,53.5,23.1,63,51.2,3837,8.2,0.07,59.8,0
20.9,18.8,10.6,100,59.6,7801,7.3,0.07,59.8,0
43.9,27.5,24.1,52.8,28.1,7801,7.3,0.07,59.8,0
47.9,33,31.4,14.5,29.5,20836,5.2,0.07,59.8,0
37.6,38.1,19.7,3.1,26,20836,5.2,0.07,59.8,0
45.3,29.3,42.7,49.4,74.7,17200,5,0.07,59.8,0
39.3,23.1,18.3,36.6,59.5,2872,3.3,0.07,59.8,0
42.7,21.8,22.9,51.1,56.9,2872,3.3,0.07,59.8,0
43.3,22,21.1,52,46.6,2872,3.3,0.07,59.8,0
47.5,21.9,21.6,47.1,45.4,2872,3.3,0.07,59.8,0
42.8,18,22.6,36.7,40.8,2872,3.3,0.07,59.8,0
38.2,52.9,54.8,80,84.1,30779,15.4,0.07,58,0
36.3,49.2,54.7,82,85.6,30779,15.4,0.07,57.7,0
45.5,38.7,36.9,92,55.2,25779,22.2,0.07,56.6,0
50.3,29.2,59,61.6,35.7,31891,11.9,0.07,55.2,0
60.3,20.1,62.5,41.2,82.3,17200,5,0.07,53.3,0
56.4,24.6,65.7,45.5,44,31891,11.9,0.07,53.2,0
57.7,32,55.6,48.9,80.7,17200,5,0.07,53.1,0
43.4,52.6,53,58.8,55.3,30779,15.4,0.07,52,0
44.8,28.5,23.7,92.8,48,6753,5.5,0.07,51.2,0
28.5,54.1,27.6,96.8,47.7,11506,25,0.07,51.1,0
54.1,27.7,58,47.3,49.6,31891,11.9,0.07,51.1,0
51.7,28.4,30.1,78.8,48,6753,5.5,0.07,50.9,0
57.7,25.6,55.7,42.9,78.9,17200,5,0.07,50.8,0
48.8,27.5,57.3,47.7,43.8,31891,11.9,0.07,49.3,0
47.1,27.3,58.3,47.8,47.1,31891,11.9,0.07,49.2,0
51.8,29.3,48.1,47.3,85.9,17200,5,0.07,48.5,0
49.7,29.7,47.3,49.6,76.8,17200,5,0.07,48.1,0
41.3,25.8,22.6,87.1,29.9,7867,11.8,0.07,48,0
39.5,27.2,39.5,66.4,43.9,25779,22.2,0.07,47.7,0
40,19.7,18.9,90.7,27,7867,11.8,0.07,47,0
45.2,27.6,23.9,77.8,48,6753,5.5,0.07,46.7,0
47.8,20.7,58.5,39.2,40,31891,11.9,0.07,46.2,0
43.6,26.4,27,75.3,48,6753,5.5,0.07,46.2,0
47.3,25.6,20.6,77.5,48,6753,5.5,0.07,46.1,0
20.5,49.8,22.8,88.2,45.9,11506,25,0.07,44.3,0
48.4,51.8,60.4,82.1,31.6,23505,15.1,0.06,61.9,1
27.4,38.8,22.3,67.5,54.2,67552,66,0.06,59.8,0
26.1,39.7,20.9,72.7,41.9,67552,66,0.06,59.8,0
29.4,39.3,20.3,72.5,40.8,67552,66,0.06,59.8,0
22.6,36.3,23.4,66.2,40.4,67552,66,0.06,59.8,0
13.4,39.2,18.8,31.2,66.5,13167,57.5,0.06,59.8,0
26,20,23.3,10,100,82096,41.1,0.06,59.8,0
25,40.5,22.5,65.1,69.4,22958,40.6,0.06,59.8,0
26.3,43.5,19.2,75.6,64.4,22958,40.6,0.06,59.8,0
27.9,40.5,20,66.7,63.3,22958,40.6,0.06,59.8,0
25.6,34.4,18.3,56.3,60.6,22958,40.6,0.06,59.8,0
17.3,28.6,17.6,66.2,32.2,27520,26.9,0.06,59.8,0
18.1,29.6,16.6,74.9,28.6,27520,26.9,0.06,59.8,0
14.1,22.6,15.4,70.3,25.3,27520,26.9,0.06,59.8,0
23.5,36.5,17.2,64.5,34.7,33504,26.5,0.06,59.8,0
18.7,34.2,15.6,72.9,32.3,19693,25.3,0.06,59.8,0
17.3,30,16.6,58.5,32.3,19693,25.3,0.06,59.8,0
14.5,26.8,15.7,50.8,27.9,19693,25.3,0.06,59.8,0
20.3,58.6,25.7,41.5,38.2,30572,24.9,0.06,59.8,0
21.9,56.2,20.2,40,28.5,30572,24.9,0.06,59.8,0
30.1,41.7,23.5,61.3,32.6,10931,24,0.06,59.8,0
20,22.6,19.6,17,36,26483,23.5,0.06,59.8,0
28.3,32,19.4,40.8,32.4,11641,21.5,0.06,59.8,0
29.4,27.4,16.2,24,25.5,11641,21.5,0.06,59.8,0
26.8,26.1,27.7,37.8,48,28116,20.1,0.06,59.8,0
23.6,15.9,26.6,4,100,14579,19.4,0.06,59.8,0
22.4,39.5,19.1,58.1,36.7,10798,17.3,0.06,59.8,0
23.8,39.7,18.6,56.1,33.4,10798,17.3,0.06,59.8,0
24.8,46.1,20.7,65.1,33.3,10798,17.3,0.06,59.8,0
24.3,44.1,21.6,53.8,32.8,10798,17.3,0.06,59.8,0
23.2,33.5,16.1,51.1,30.2,10798,17.3,0.06,59.8,0
24.3,36.4,14.7,45.8,29.4,53476,16,0.06,59.8,0
22.3,42.7,32.3,52.8,70,2739,15.9,0.06,59.8,0
19.3,28.3,11.7,28,29.5,31460,15.8,0.06,59.8,0
31.8,25.4,22.3,69.3,36.5,36108,15.7,0.06,59.8,0
34.9,23.9,26.5,69.5,35.8,36108,15.7,0.06,59.8,0
32,26,22.4,67.8,35.6,36108,15.7,0.06,59.8,0
31.3,28.3,20.4,72.1,35.3,36108,15.7,0.06,59.8,0
29,20.6,24.9,69,32.9,36108,15.7,0.06,59.8,0
22.9,37.1,14.1,46.9,32.3,29085,15.3,0.06,59.8,0
23.5,36,18,57.6,61.3,17625,14.4,0.06,59.8,0
23.9,34.3,18.3,50.4,57.6,17625,14.4,0.06,59.8,0
37.8,27.5,45.2,34,92.9,38191,12.8,0.06,59.8,0
37.9,23.9,37.9,38.9,88.4,38191,12.8,0.06,59.8,0
39.4,20.5,29.7,19.1,85.2,38191,12.8,0.06,59.8,0
35.7,22.8,31.8,32.3,79.2,38191,12.8,0.06,59.8,0
43.4,20.7,37.9,31.3,76.1,38191,12.8,0.06,59.8,0
36.1,45.8,12,59.6,44,24954,12.7,0.06,59.8,0
34.9,44.4,14.7,59.6,42.8,24954,12.7,0.06,59.8,0
34.7,40.1,13.7,30.7,42.5,24954,12.7,0.06,59.8,0
35.5,48.4,13.4,69.6,40.4,24954,12.7,0.06,59.8,0
21.9,25.5,12.3,87.5,42.4,23321,12.2,0.06,59.8,0
25.7,26.5,21.7,19,42.2,6001,11.1,0.06,59.8,0
20.2,48.2,8.7,6,28,29303,10.6,0.06,59.8,0
25.2,27.9,26.5,38.3,84.8,10915,9.8,0.06,59.8,0
22.6,34.5,22.1,46.2,83.9,10915,9.8,0.06,59.8,0
24.7,22.2,21.4,27.1,78.6,10915,9.8,0.06,59.8,0
26.3,27.1,23.2,17.5,75.3,10915,9.8,0.06,59.8,0
23.1,56.9,15.9,62.3,30.9,14056,8.5,0.06,59.8,0
27.8,21.1,15.4,24.3,45.1,15885,8.4,0.06,59.8,0
28.3,18.1,15.5,24.3,33.5,15885,8.4,0.06,59.8,0
49,24.2,51.4,75.4,30.2,23505,15.1,0.06,56.6,0
42.8,48.3,53,77.7,31.1,23505,15.1,0.06,56.4,0
39.3,46.8,54.2,75.1,28.9,23505,15.1,0.06,54.8,0
37.5,49.7,48.1,79,31.5,23505,15.1,0.06,53.9,0
40.5,47.1,45.1,74.2,58.5,23280,16.3,0.06,52.9,0
35.5,51.3,46.5,77.8,30.7,23505,15.1,0.06,52.6,0
28.4,54.9,37.1,90.7,60.1,23280,16.3,0.06,52.5,0
47.6,30.6,51.6,58.5,81.4,23280,16.3,0.06,52.3,0
35.5,50.6,43.2,74.9,60,23280,16.3,0.06,51.4,0
33.1,49.2,38.8,74.1,59.8,23280,16.3,0.06,49,0
26,44.6,27.1,88.5,42.9,2739,15.9,0.06,46.9,0
43.6,18.9,40.4,61.5,32.5,36108,15.7,0.06,46.9,0
30.4,48,35.3,70.2,63.2,23280,16.3,0.06,45.9,0
48.2,50.1,46,96.4,40.1,462,16.5,0.05,61.9,1
24.3,34.3,25.5,65.8,46.6,33370,72.5,0.05,59.8,0
27.1,40.6,23,76.6,45,33370,72.5,0.05,59.8,0
26.1,36.2,21.1,76,39,33370,72.5,0.05,59.8,0
22.5,33.2,12.3,78.3,35.6,33370,72.5,0.05,59.8,0
25.2,42.8,23.3,76,35.3,33370,72.5,0.05,59.8,0
19.3,48,11.8,62.1,37.7,36353,61.2,0.05,59.8,0
23.1,35.9,21,64.8,37.5,36353,61.2,0.05,59.8,0
24.9,46.9,13.6,7,28.2,25724,33,0.05,59.8,0
11.6,18.9,10.4,23.3,48,29594,32.3,0.05,59.8,0
20.3,25.9,27,62.7,29.3,27420,31.7,0.05,59.8,0
19.7,26.9,24.8,65.6,29.2,27420,31.7,0.05,59.8,0
15,22.2,23.1,61.1,29.2,27420,31.7,0.05,59.8,0
16.3,37.9,15,38.7,44.8,14061,28.6,0.05,59.8,0
20.4,30.5,13.2,14,45.6,96968,28.3,0.05,59.8,0
19,47,16.8,67,36,14650,26.9,0.05,59.8,0
18.2,47.1,16.6,65.6,35,14650,26.9,0.05,59.8,0
18.6,47,19.2,73.6,34.5,14650,26.9,0.05,59.8,0
17.1,44.4,16.3,68.6,34.1,14650,26.9,0.05,59.8,0
13.1,42.6,12.6,66.7,33.2,14650,26.9,0.05,59.8,0
30.5,37.7,24.2,64.8,40.9,58618,24.3,0.05,59.8,0
25.3,37.4,22.9,66.9,40.1,58618,24.3,0.05,59.8,0
25.7,35.6,19.8,65.5,39,58618,24.3,0.05,59.8,0
36.3,35.7,24.2,61,38.2,58618,24.3,0.05,59.8,0
37.1,34.3,24.3,51.3,35,58618,24.3,0.05,59.8,0
18.8,22.3,15.7,85.5,32.1,14991,23.9,0.05,59.8,0
23.7,39,17.8,45.2,33.2,18846,23.6,0.05,59.8,0
25.5,25.9,17.4,30.3,36.9,22819,21.2,0.05,59.8,0
12.5,14.3,19.7,31,68,8240,20.9,0.05,59.8,0
18.1,20.3,21,18.2,49.3,8240,20.9,0.05,59.8,0
19.6,27.9,20.2,34.4,39.1,28534,20.4,0.05,59.8,0
26.3,29.5,19.5,52.9,28.7,28534,20.4,0.05,59.8,0
30.8,29.8,32,55.8,48,26769,19,0.05,59.8,0
26.9,25.5,32,51.2,48,26769,19,0.05,59.8,0
31.6,34.5,33,59.3,41,26769,19,0.05,59.8,0
27.6,30.4,31.3,59.9,38.8,26769,19,0.05,59.8,0
28.6,31.4,29.8,57.4,38.5,26769,19,0.05,59.8,0
17.3,26,13.8,45.5,29,22542,18.4,0.05,59.8,0
29.5,39.3,23.2,81.4,41.3,24716,17,0.05,59.8,0
36.4,24.2,44.5,25.1,100,12646,16.6,0.05,59.8,0
37.3,28.9,42.1,37.3,99.5,12646,16.6,0.05,59.8,0
39.6,27.2,49.6,31.5,99,12646,16.6,0.05,59.8,0
35,30.7,40.7,40.4,98.2,12646,16.6,0.05,59.8,0
32.9,32,45.4,34.2,96.9,12646,16.6,0.05,59.8,0
25.1,18.9,18.2,48.9,99.1,34550,16,0.05,59.8,0
34.9,20.8,25.5,52.9,98,34550,16,0.05,59.8,0
19.2,22.9,25.8,26.5,72.1,34550,16,0.05,59.8,0
26.2,35.7,19.2,82.3,68.2,34550,16,0.05,59.8,0
22.6,49.4,21.3,42.3,28.9,17503,16,0.05,59.8,0
27.9,47,32.2,15.7,28.5,17503,16,0.05,59.8,0
44.3,19.6,46,36.1,96.2,47508,15.9,0.05,59.8,0
35.9,21,32.1,36.5,94.5,47508,15.9,0.05,59.8,0
40.3,20.1,34.5,32.6,89,47508,15.9,0.05,59.8,0
36,21.5,33.1,40.2,88.6,47508,15.9,0.05,59.8,0
38.8,13.9,27.2,23,84.4,47508,15.9,0.05,59.8,0
24.1,21.7,17.1,46.4,64.7,27140,15.5,0.05,59.8,0
18.2,34.9,11.9,43.1,30.3,46373,15.3,0.05,59.8,0
27.6,47.2,24,50.2,48,9703,15.2,0.05,59.8,0
27.5,42.8,16.3,47.2,48,9703,15.2,0.05,59.8,0
24.3,49.7,15.8,44.6,71.2,9703,15.2,0.05,59.8,0
28.2,47.1,25.5,55.5,34.2,9703,15.2,0.05,59.8,0
16.9,44.7,10,44.8,28.5,22422,14.9,0.05,59.8,0
20.4,41.4,21.5,28.9,32.3,12326,14.6,0.05,59.8,0
24.3,46.3,21.8,47.7,32.1,12326,14.6,0.05,59.8,0
27.1,66.2,21.2,65.8,31.2,12326,14.6,0.05,59.8,0
26.5,18,15.8,21.7,41.5,5865,14.4,0.05,59.8,0
34.9,19.4,24.1,16.9,39.9,5865,14.4,0.05,59.8,0
31.7,29.6,22,46.6,31.2,29885,14.1,0.05,59.8,0
31.2,31,21,60.2,31.1,29885,14.1,0.05,59.8,0
40.4,30.8,45.8,45.2,31.1,29885,14.1,0.05,59.8,0
32.6,28.9,31.4,44.9,31.1,29885,14.1,0.05,59.8,0
38.5,26.9,33.7,37.7,26.5,29885,14.1,0.05,59.8,0
19.5,36.2,10.8,41.9,34.1,24210,13.7,0.05,59.8,0
37.7,23.2,36.6,53,49.5,10221,13.5,0.05,59.8,0
39.4,24.8,40.3,49.1,49.4,10221,13.5,0.05,59.8,0
42.7,17.7,44.5,39.7,46.8,10221,13.5,0.05,59.8,0
45.5,20.1,44.1,44.4,44,10221,13.5,0.05,59.8,0
39.5,21.5,35.4,44.7,43.4,10221,13.5,0.05,59.8,0
37.2,20.1,18.8,43.3,48,33268,13.3,0.05,59.8,0
35.4,22.4,15,42.4,48,33268,13.3,0.05,59.8,0
34,28.6,18.2,58.3,41.6,33268,13.3,0.05,59.8,0
28,18.7,22.6,6.7,40.1,50594,13,0.05,59.8,0
20.6,19.9,22.2,20.5,33.2,7009,12.6,0.05,59.8,0
26.7,25,15.6,47,48,32921,12.3,0.05,59.8,0
26.9,21,16.8,24.8,55.3,14554,12.3,0.05,59.8,0
32.5,22.2,28,39.7,43.1,33751,11.9,0.05,59.8,0
25,22.7,17.5,28.5,41.4,33751,11.9,0.05,59.8,0
32.3,18.3,21.9,26.1,40,33751,11.9,0.05,59.8,0
14.5,28.8,9.3,38.4,42.9,31046,11.8,0.05,59.8,0
20.1,33.5,12.7,49.5,36.7,31046,11.8,0.05,59.8,0
42.7,35.9,40.2,14.8,63.7,137378,11.6,0.05,59.8,0
31,33.2,31.6,24.6,36,137378,11.6,0.05,59.8,0
22.7,41.7,13.8,48.2,29.5,42835,11.5,0.05,59.8,0
24,33.5,14.4,30.7,28,42835,11.5,0.05,59.8,0
25.1,39.5,16,43.1,25.8,42835,11.5,0.05,59.8,0
41.5,53.3,36.3,57.2,31.5,17612,10.7,0.05,59.8,0
24.7,18.4,14.8,35.5,30.4,10546,10.4,0.05,59.8,0
27.8,22.2,18.9,41.7,42.2,14686,8.2,0.05,59.8,0
27.7,18.8,16.3,20.1,39.4,14686,8.2,0.05,59.8,0
23.4,22.2,11.6,28.1,43.1,10226,7.6,0.05,59.8,0
21.7,37.2,7.2,9.6,48,62716,6.9,0.05,59.8,0
38.8,30.3,11,44.5,48,10297,6.8,0.05,59.8,0
25.6,39.8,9.5,41.3,29.6,13438,5.4,0.05,59.8,0
34.6,24.2,19.5,94.8,42.5,7326,4.6,0.05,59.8,0
33.3,26,23.5,81.3,38.2,7326,4.6,0.05,59.8,0
37.7,21.8,17.4,88.9,45.4,1855,2.1,0.05,59.8,0
25.4,30.4,12.1,85.2,31.8,1211,0.6,0.05,59.8,0
54.6,24.4,42.9,79.2,48,7326,4.6,0.05,57.7,0
54.2,46.3,53.1,67.2,52,462,16.5,0.05,57.1,0
52.2,34.1,52.6,66.9,50.2,10221,13.5,0.05,56.1,0
48.8,50.3,55.8,57,33.6,17612,10.7,0.05,53.1,0
45.8,55.6,41.4,64.6,31.9,17612,10.7,0.05,50.5,0
47.7,53,56.4,48.4,25,17612,10.7,0.05,50.4,0
53.2,57.9,54.4,32.9,98.7,12646,16.6,0.05,48.3,0
30.2,37.3,36.9,79.7,51.1,34550,16,0.05,48.1,0
37.5,19,22.4,89.1,48,7326,4.6,0.05,47.3,0
54.6,29.6,41.3,44.3,70.3,47508,15.9,0.05,46.4,0
36.4,17.2,21.6,86.1,49.1,7326,4.6,0.05,45.8,0
36.1,23.7,21.8,85.1,38.8,7326,4.6,0.05,45.7,0
42.8,52.9,37,54.3,33.3,17612,10.7,0.05,45,0
69.5,32.6,62.5,96.5,100,3055,10.1,0.04,75.1,1
63.9,28.8,63.9,88.2,100,3055,10.1,0.04,69.4,1
56.4,25,51.9,92.3,100,3055,10.1,0.04,64.6,1
54.2,33.8,49,85.7,100,3055,10.1,0.04,61.7,1
52.7,36,49.3,84.4,100,3055,10.1,0.04,61.1,1
18.5,30.6,12.1,28.8,48.3,29251,40.9,0.04,59.8,0
14.5,36.9,17.7,56.4,32.9,20825,36.3,0.04,59.8,0
24.2,33.3,31.4,38.6,48.9,21643,28.3,0.04,59.8,0
24.4,39,31.3,48.2,48.1,21643,28.3,0.04,59.8,0
20.6,39.1,22.6,45.1,47.8,21643,28.3,0.04,59.8,0
28,53.6,34.2,44.4,47.4,21643,28.3,0.04,59.8,0
41,47.5,50.5,49.2,42.9,23977,24.4,0.04,59.8,0
15.2,27.3,11,80.2,28,16589,23,0.04,59.8,0
14.4,19.1,9.8,18.2,47,25951,22.8,0.04,59.8,0
21.3,43,12.1,30.6,29.3,28698,22.4,0.04,59.8,0
17.1,30.4,13.7,21.6,39.7,22447,22.1,0.04,59.8,0
16.2,17.7,18.3,28.6,39.8,8663,20.6,0.04,59.8,0
10.8,12.8,9.6,58.3,29.2,8663,20.6,0.04,59.8,0
21,19.6,11.8,19.7,28.2,39606,20.4,0.04,59.8,0
20.2,16.9,16.8,24.5,42.5,15632,20.3,0.04,59.8,0
15.9,23.4,11.9,11.1,28.3,10671,19.8,0.04,59.8,0
26.4,24.2,32.9,39,47,9336,19.6,0.04,59.8,0
27.3,22.1,32.6,43.2,45,9336,19.6,0.04,59.8,0
26.1,19.7,33,25.8,44.3,9336,19.6,0.04,59.8,0
27.9,23.9,32.5,48.5,43.9,9336,19.6,0.04,59.8,0
24.9,16,30.4,48.5,42.1,9336,19.6,0.04,59.8,0
36.9,60.6,37.5,52,36.5,13855,19.4,0.04,59.8,0
35.1,59.7,37.2,48.9,36.2,13855,19.4,0.04,59.8,0
38.7,48.9,45,34,33.6,13855,19.4,0.04,59.8,0
30.8,61.9,33.3,52.1,28.8,13855,19.4,0.04,59.8,0
20.7,40.4,18.2,68,32.9,62577,18.3,0.04,59.8,0
25.7,37.9,22.6,74.6,32.6,62577,18.3,0.04,59.8,0
19.3,38.9,17.3,70.4,32,62577,18.3,0.04,59.8,0
21,37,21.4,64.5,31.7,62577,18.3,0.04,59.8,0
24.2,34.3,26,56.2,31.1,62577,18.3,0.04,59.8,0
20.3,35,18.1,64.2,41.7,47247,18,0.04,59.8,0
22.6,29.6,23.2,63.8,39.4,47247,18,0.04,59.8,0
22.4,36.7,18.8,69.2,37.7,47247,18,0.04,59.8,0
18.3,26.2,18.5,50.8,35.3,47247,18,0.04,59.8,0
21.6,31.1,18.9,64.5,31.4,47247,18,0.04,59.8,0
17.7,23.5,21.8,48,43,12331,17.8,0.04,59.8,0
29.3,17.3,22.7,31.6,71.8,57242,17.7,0.04,59.8,0
24.9,34.5,13.6,24,32.3,48821,17.6,0.04,59.8,0
33.7,22.5,18.7,10.3,47.3,22386,17.6,0.04,59.8,0
30.2,27.9,19.4,21,37.2,22386,17.6,0.04,59.8,0
17.1,33.6,11.5,42.1,38.7,14531,17.3,0.04,59.8,0
25.1,15.6,22.4,6.9,89.7,22780,15.1,0.04,59.8,0
51.6,25.3,51.6,32.3,40.1,81402,14.6,0.04,59.8,0
47.2,24.9,50.8,29.4,40.1,81402,14.6,0.04,59.8,0
59.1,25.3,57.1,20.4,30.5,81402,14.6,0.04,59.8,0
21.1,21.7,16,18.1,34.9,27152,14.4,0.04,59.8,0
18.3,40.8,13.6,26.1,41,19019,14.2,0.04,59.8,0
25.4,18.5,16.9,14.7,32.8,7318,12.4,0.04,59.8,0
28.7,25.8,22.5,25.5,70.4,29863,12.3,0.04,59.8,0
19.4,20.7,12.5,14.2,44.1,5890,12.1,0.04,59.8,0
